Date,Open,High,Low,Close,Volume,Adj Close,Number of Trades,VWAP,Is OTC,Ticker
2023-12-01,190.33,191.56,189.23,191.24,45676673.0,191.24,515537,190.8613,False,AAPL
2023-12-04,189.98,190.05,187.4511,189.43,43389519.0,189.43,587461,188.916,False,AAPL
2023-12-05,190.21,194.4,190.18,193.42,66628398.0,193.42,700669,193.1715,False,AAPL
2023-12-06,194.45,194.76,192.11,192.32,41055862.0,192.32,491436,192.8014,False,AAPL
2023-12-07,193.63,195.0,193.59,194.27,47413955.0,194.27,495048,194.3967,False,AAPL
2023-12-08,194.2,195.99,193.67,195.71,53383658.0,195.71,538968,195.1638,False,AAPL
2023-12-11,193.11,193.49,191.42,193.18,60943699.0,193.18,691172,192.7089,False,AAPL
2023-12-12,193.08,194.72,191.721,194.71,52696900.0,194.71,510768,193.7834,False,AAPL
2023-12-13,195.09,198.0,194.85,197.96,70404183.0,197.96,672552,196.9085,False,AAPL
2023-12-14,198.02,199.62,196.16,198.11,66831572.0,198.11,691862,198.2872,False,AAPL
2023-12-15,197.53,198.3999,197.0,197.57,127387901.0,197.57,625452,197.56,False,AAPL
2023-12-18,196.09,196.63,194.39,195.89,55751861.0,195.89,655763,195.6255,False,AAPL
2023-12-19,196.16,196.95,195.89,196.94,40714051.0,196.94,451709,196.5277,False,AAPL
2023-12-20,196.9,197.68,194.83,194.83,52242815.0,194.83,550599,196.142,False,AAPL
2023-12-21,196.1,197.08,193.5,194.68,46482549.0,194.68,554844,194.7425,False,AAPL
2023-12-22,195.18,195.41,192.97,193.6,37149570.0,193.6,500544,194.1013,False,AAPL
2023-12-26,193.61,193.89,192.83,193.05,28919310.0,193.05,488257,193.1713,False,AAPL
2023-12-27,192.49,193.5,191.09,193.15,48087681.0,193.15,548076,192.5679,False,AAPL
2023-12-28,194.14,194.66,193.17,193.58,34049898.0,193.58,472404,193.9222,False,AAPL
2023-12-29,193.9,194.4,191.725,192.53,42672148.0,192.53,509123,192.5761,False,AAPL
